clause_text,clause_type,domain
"""Arizona Licensed Copyrights"" means all Copyrights owned by Licensing or Seller or their respective Affiliates, as of the Effective Date and used or held for use in the Company Field during the five (5) years prior to the Effective Date (other than the Arizona Assigned Copyrights).",License Grant,Original Corporate
"NOTWITHSTANDING THE FOREGOING, NOTHING IN THIS SECTION 14.7 IS INTENDED TO OR SHALL LIMIT OR RESTRICT THE INDEMNIFICATION RIGHTS OR OBLIGATIONS OF ANY PARTY UNDER ARTICLE 14, OR DAMAGES AVAILABLE FOR A PARTY'S BREACH OF CONFIDENTIALITY OBLIGATIONS IN ARTICLE 12.",Limitation of Liability,Original Corporate
Any notice required to be given under this deed shall be sent by Speed Post or courier to the registered office address.,Notices,General
"A security deposit of Rs. 65,000 shall be deposited with the Landlord to secure performance under this lease.",Security Deposit,Rental
The premises shall be used only for residential purposes. The Tenant shall not use the premises for any commercial activity.,Use of Premises,Rental
The total liability of the Company under this agreement shall be limited to the fees actually paid during the preceding 12 months.,Limitation of Liability,General
"The Employer agrees to pay the Employee a CTC of Rs. 209,000 per annum, paid in monthly installments.",Salary/Compensation,Employment
"Upon execution of this deed, the Buyer shall become the sole and absolute owner of the scheduled property.",Possession & Transfer,Property
The parties shall present this document for registration before the Sub-Registrar of Chennai within 45 days.,Stamp Duty & Registration,Property
"The occurrence of a force majeure event (such as earthquake, flood, pandemic, or labor strike) shall suspend performance obligations.",Force Majeure,General
No party shall disclose the terms or financial details of this transaction to any third party without written consent.,Confidentiality,NDA/Confidentiality
"Notices shall be deemed served when delivered by hand, registered post, or confirmed email transmission.",Notices,General
"The Employer agrees to pay the Employee a CTC of Rs. 204,000 per annum, paid in monthly installments.",Salary/Compensation,Employment
The Lessee shall use the leased premises solely for office space and commercial activities permitted by local laws.,Use of Premises,Rental
Licensed Users may not assign this Agreement and/or any rights and/or obligations hereunder without the prior written consent of Licensor and any such attempted assignment shall be void.,Other Corporate,Original Corporate
This Agreement shall become effective on the date on which it is signed and affixed with the corporate seals by the authorized representative of  each Party and have a term of five (5) years commencing as of the effective date hereof.,Effective Date & Parties,Original Corporate
"For a period of 1 year post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
IN NO EVENT SHALL COMPANY BE LIABLE FOR ANY INCIDENTAL OR CONSEQUENTIAL DAMAGES AND DISTRIBUTOR'S REMEDIES SHALL BE LIMITED TO REPAIR OR REPLACEMENT OF NONCONFORMING UNITS OR PARTS.,Limitation of Liability,Original Corporate
"patent applications were to issue as patents) for the Exploitation of the Licensed Compound or a Licensed Product, but excluding any Joint Patents.",License Grant,Original Corporate
This Agreement has been duly executed as of the date first set forth above and shall be effective simultaneously.,Effective Date & Parties,Original Corporate
"This Agreement and all disputes or controversies arising out of or relating to this Agreement or the transactions contemplated hereby shall be governed by, and construed in accordance with, the internal laws of the State of New York, without regard to the laws of any other jurisdiction that might be applied because of the conflicts of laws principles of the State of New York.",Governing Law,Original Corporate
"In any Contract Year                   in which Schoolpop fails to fund the Guaranteed Minimum, AEIS                   shall have the right, in its sole discretion, to (a) terminate                   the Agreement or (b) revoke the exclusivity.",Exclusivity,Original Corporate
"Notices shall be deemed served when delivered by hand, registered post, or confirmed email transmission.",Notices,General
"The compensation of the Employee shall be Rs. 213,000 per month, payable in accordance with Company policy.",Salary/Compensation,Employment
"The Landlord shall be responsible for major structural repairs, while routine maintenance shall be borne by the Tenant.",Maintenance & Utilities,Rental
"This Agreement is effective on the day of May 1, 2013 and the effective term is the same as the Cooperation Term.",Effective Date & Parties,Original Corporate
The premises shall be occupied exclusively by the Tenant and their immediate family for housing purposes only.,Use of Premises,Rental
"MSL will warrant all MSL Procured Parts for [*] months unless                   otherwise stated in the applicable Product Attachment, or                   agreed to by IBM in writing.",Warranty Duration,Original Corporate
The total liability of the Company under this agreement shall be limited to the fees actually paid during the preceding 12 months.,Limitation of Liability,General
"All rights to the use of the names, trademarks, service marks, symbols, logos, domain names, trade secrets, confidential know-how, patents, copyrights, any pending applications with respect to any of the foregoing, and  any other intellectual property and related proprietary rights, interests and protections (""Intellectual Property Rights"") in connection with Wade Products will be jointly owned by Wade and Naked.",Intellectual Property,Original Corporate
