clause_text,risk_level,domain,clause_type,is_synthetic
"The Tenant shall pay a refundable security deposit of INR 112,000 before taking possession. The deposit shall be returned within 60 days after the tenancy ends, subject only to deductions for actual physical damage.",low,Rental,Security Deposit,True
The Manufacturer may not transfer or assign any of its rights or obligations under this agreement without the prior written consent of the Customer.,high,Original Corporate,Anti-Assignment,False
The Receiving Party shall protect the confidential information for 5 years and indemnify the Disclosing Party up to INR 6 Lakhs for accidental leaks.,medium,NDA,Confidentiality,True
"The PG shall ensure that the Supply Contract shall afford the Parties to this Agreement the right to review the books, records, vouchers, and accounts required to be kept, maintained, and obtained pursuant to Subparagraphs 9.1, 9.2 and 9.3.",medium,Original Corporate,Audit Rights,False
"ACSI may assign this Agreement to (a) any corporation or other entity resulting from any merger, consolidation, or other reorganization involving ACSI, (b) any of its Affiliates, or (c) any person or entity to which it transfers all or",high,Original Corporate,Anti-Assignment,False
"Party A and Party B shall sign the Contract for Technology Investment simultaneously with the signature of this Contract, and pursuant to the Contract for Technology Investment shall license to the Joint Venture Company the right to utilize proprietary technology (including patented technology), related documentation and know-how for the production of the Joint Venture Products.",low,Original Corporate,License Grant,False
"IN NO EVENT SHALL DELTATHREE BE LIABLE TO PRIMECALL FOR ANY SPECIAL, INCIDENTIAL OR CONSEQUENTIAL DAMAGES, INCLUDING, WITHOUT LIMITATION, LOSS OF PROFITS, REVENUES OR DATA WHETHER BASED ON BREACH OF CONTRACT, TORT OR OTHERWISE, WHETHER OR NOT PRIMECALL HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.",high,Original Corporate,Cap On Liability,False
The first year limited warranty starts on the day of the activation of the Unit on a wireless network.,medium,Original Corporate,Warranty Duration,False
"If Diplomat's examination is not completed within one month from commencement, Tadeo at any time may require Diplomat to terminate such examination on",high,Original Corporate,Audit Rights,False
The term of this Agreement is five (5) years unless the early termination in accordance with this Agreement.,high,Original Corporate,Expiration Date,False
"PB shall issue to SFJ on the Effective Date a warrant (""Warrant"") exercisable for two million two hundred thousand (2,200,000) shares of PB common stock (""Stock"") at an exercise price per share (""Exercise Price"") equal to the greater of (a) five dollars ($5.00) or (b) 120% of the volume weighted average closing price of the Stock over the thirty (30) consecutive trading days ending on the last trading day immediately preceding the Effective Date and exercisable as follows: (i) one million one hundred thousand (1,100,000)

Source: PHASEBIO PHARMACEUTICALS INC, 10-K, 3/30/2020





shares may be exercised at any time after the Effective Date provided that any such shares may be transferred by SFJ to its Affiliates but may not be resold by SFJ or its Affiliates until one (1) year after the Effective Date and (ii) one million one hundred thousand (1,100,000) shares may be exercised at any time after the date of Successful Phase 3 Interim Analysis",medium,Original Corporate,Revenue/Profit Sharing,False
"All questions regarding the validity, interpretation, performance and enforcement of the provisions of this Agreement shall be governed by the laws of the state of New York.",low,Original Corporate,Governing Law,False
"This Agreement will be governed in all respects by the laws of the State of Delaware, including its conflict with law provisions.",low,Original Corporate,Governing Law,False
The Employee is strictly prohibited from working for any direct or indirect competitor anywhere in India for a period of 3 years post-termination.,high,Employment,Non-Compete,True
"This Agreement shall be governed by and construed in accordance with the laws of the Province of British Columbia and the federal laws of Canada applicable therein, excluding its conflict-of-laws rules.",low,Original Corporate,Governing Law,False
Without notification the contract will automatically extend for an additional month of service.,low,Original Corporate,Renewal Term,False
"During the Term of this Agreement, Surgical will not to enter into any other agreement or arrangement that will directly or indirectly compete with the Services to be rendered hereunder, as such agreement shall be considered a breach of this Agreement.",high,Original Corporate,Non-Compete,False
